config,mean_steps_v4_1_20260417_151846,mean_steps_v5_1_20260417_175446,delta_steps,clean_rate_v4_1_20260417_151846,clean_rate_v5_1_20260417_175446,delta_clean_rate
1 robot/color,979.7,636.8,-342.9000000000001,1.0,1.0,0.0
3 robots/color,204.05,180.25,-23.80000000000001,1.0,1.0,0.0
10 robots/color,136.95,118.8,-18.14999999999999,1.0,1.0,0.0
14 robots/color,109.5,100.55,-8.950000000000003,1.0,1.0,0.0
Narrow (w=9),111.2,99.15,-12.049999999999997,1.0,1.0,0.0
Medium (w=15),179.65,171.25,-8.400000000000006,1.0,1.0,0.0
Wide (w=21),246.6,228.65,-17.94999999999999,1.0,1.0,0.0
Very wide (w=30),395.6,334.95,-60.650000000000034,1.0,1.0,0.0
Short (h=6),49.8,47.25,-2.549999999999997,1.0,1.0,0.0
Medium (h=15),179.65,171.25,-8.400000000000006,1.0,1.0,0.0
Tall (h=24),453.45,311.55,-141.89999999999998,1.0,1.0,0.0
Very tall (h=36),986.5,780.7,-205.79999999999995,1.0,1.0,0.0
"Low waste (n=1, 7 total)",167.1,166.1,-1.0,1.0,1.0,0.0
"High waste (n=4, 28 total)",161.25,134.15,-27.099999999999994,1.0,1.0,0.0
"Very high waste (n=10, 70 total)",146.45,141.15,-5.299999999999983,1.0,1.0,0.0
